Player,Team,years_with_team,draft_pos,all_star,num_teams,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ig_followers,resigned,Agent
Bryn Forbes,4,1,61,0,2,27,70,45,25,19.3,10.0,3.6,7.6,47.3,2.2,4.9,45.2,0.7,0.9,77.0,0.2,1.4,1.6,0.6,0.6,0.3,0.0,1.1,13.3,1.0,0.0,1.4,0,0,0.0
Ben McLemore,15,1,7,0,5,28,53,20,33,17.1,7.7,2.5,6.9,37.0,1.8,5.3,34.6,0.7,1.0,73.6,0.3,1.6,1.9,0.7,0.8,0.4,0.2,1.7,12.0,0.0,0.0,-1.9,0,0,0.0
Kyle Lowry,24,9,24,6,3,35,46,15,31,34.8,17.2,5.7,13.0,43.6,2.8,7.2,39.6,3.0,3.5,87.5,0.8,4.6,5.4,7.3,2.7,1.0,0.3,3.1,35.8,9.0,2.0,-0.1,1383057,0,0.0
Marc Gasol,15,1,48,3,3,36,52,32,20,19.1,5.0,1.7,3.7,45.4,1.0,2.3,41.0,0.7,1.0,72.0,0.7,3.4,4.1,2.1,1.0,0.5,1.1,2.2,17.0,0.0,0.0,1.7,0,1,0.0
Darius Garland,18,2,5,0,1,21,54,18,36,33.1,17.4,6.7,14.9,45.1,1.9,4.9,39.5,2.1,2.4,84.8,0.4,2.0,2.4,6.1,3.0,1.2,0.1,2.0,30.4,6.0,0.0,-4.4,31,1,6.0
Killian Tillie,28,1,61,0,1,23,18,11,7,10.1,3.2,1.1,3.2,33.3,0.6,1.8,30.3,0.5,0.6,81.8,0.3,1.0,1.3,0.4,0.1,0.3,0.4,1.1,7.5,0.0,0.0,2.2,0,1,0.0
Rajon Rondo,16,1,21,4,8,35,45,28,17,17.1,5.4,2.1,4.8,44.2,0.8,2.0,40.4,0.4,0.4,94.1,0.4,2.0,2.4,4.4,1.8,0.8,0.1,1.2,15.9,0.0,0.0,0.5,0,0,0.0
Spencer Dinwiddie,8,5,38,0,2,28,3,2,1,21.4,6.7,2.0,5.3,37.5,0.7,2.3,28.6,2.0,2.0,100.0,0.0,4.3,4.3,3.0,1.7,0.7,0.3,1.3,17.7,0.0,0.0,14.0,328092,0,0.0
Didi Louzada,7,1,35,0,1,21,3,0,3,18.8,2.7,1.0,4.3,23.1,0.7,2.7,25.0,0.0,0.0,0.0,0.3,0.7,1.0,1.0,1.0,0.7,0.0,1.7,6.4,0.0,0.0,-3.7,0,1,0.0
Julius Randle,19,2,7,1,3,26,71,40,31,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6.0,81.1,1.2,9.0,10.2,6.0,3.4,0.9,0.3,3.2,45.4,41.0,6.0,2.2,973593,1,5.0
Anthony Tolliver,3,1,61,0,11,36,11,7,4,9.0,1.5,0.4,1.5,23.5,0.4,1.3,28.6,0.5,0.5,83.3,0.3,0.6,0.9,0.2,0.3,0.3,0.2,0.6,4.0,0.0,0.0,2.7,0,1,0.0
Yuta Watanabe,24,1,61,0,2,26,50,24,26,14.5,4.4,1.6,3.6,43.9,0.7,1.8,40.0,0.5,0.6,82.8,0.7,2.5,3.2,0.8,0.4,0.5,0.4,1.1,11.7,0.0,0.0,-0.8,0,1,0.0
LaMelo Ball,27,1,3,0,1,19,51,23,28,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,1.2,4.7,5.9,6.1,2.8,1.6,0.4,2.7,35.0,7.0,1.0,-1.6,10615858,1,19.0
DJ Wilson,26,1,17,0,2,25,35,13,22,12.4,5.2,1.9,4.8,40.5,0.9,2.5,34.5,0.5,0.7,68.0,0.6,2.6,3.2,0.7,0.6,0.3,0.5,1.3,11.7,1.0,0.0,-3.0,0,1,0.0
Tristan Thompson,9,1,4,0,3,30,54,27,27,23.8,7.6,3.1,6.0,51.8,0.0,0.1,0.0,1.3,2.2,59.2,3.1,5.0,8.1,1.2,1.1,0.4,0.6,2.2,21.2,5.0,0.0,0.4,3802207,1,6.0
Semi Ojeleye,9,4,37,0,1,26,56,28,28,17.0,4.6,1.6,3.9,40.3,1.0,2.8,36.7,0.4,0.6,75.0,0.6,2.1,2.6,0.7,0.4,0.3,0.0,1.0,9.3,0.0,0.0,0.1,0,0,0.0
Khem Birch,24,1,61,0,2,28,67,23,44,22.8,7.2,2.8,5.7,49.7,0.2,0.8,25.0,1.4,1.9,70.5,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,19.8,6.0,0.0,-1.9,0,1,0.0
Taj Gibson,19,2,26,0,5,36,45,29,16,20.8,5.4,2.2,3.5,62.7,0.1,0.3,20.0,0.9,1.2,72.7,2.2,3.4,5.6,0.8,0.5,0.7,1.1,2.2,18.1,0.0,0.0,2.9,400231,1,49.0
Nikola Vucevic,6,2,16,2,3,30,70,26,44,33.5,23.4,9.5,19.9,47.7,2.5,6.3,40.0,1.9,2.2,84.0,2.1,9.6,11.7,3.8,1.8,0.9,0.7,2.0,46.2,48.0,2.0,-4.9,0,1,42.0
Kevin Huerter,13,3,19,0,1,22,69,40,29,30.8,11.9,4.6,10.6,43.2,2.0,5.6,36.3,0.7,0.9,78.1,0.6,2.8,3.3,3.5,1.1,1.2,0.3,2.4,24.4,3.0,0.0,1.0,129378,1,0.0
Kyle Kuzma,15,4,27,0,1,25,68,40,28,28.7,12.9,4.9,11.1,44.3,2.0,5.6,36.1,1.0,1.4,69.1,1.6,4.5,6.1,1.9,1.7,0.5,0.6,1.8,24.7,13.0,0.0,0.0,4768934,1,24.0
Victor Oladipo,23,1,2,2,4,29,33,13,20,32.7,19.8,7.1,17.5,40.8,2.4,7.2,32.6,3.2,4.2,75.4,0.4,4.5,4.8,4.6,2.5,1.4,0.4,2.5,35.4,0.0,0.0,-2.2,0,1,0.0
Thaddeus Young,6,2,12,0,6,33,68,30,38,24.3,12.1,5.4,9.7,55.9,0.2,0.7,26.7,1.0,1.7,62.8,2.5,3.8,6.2,4.3,2.0,1.1,0.6,2.2,29.0,7.0,0.0,2.1,0,1,0.0
Bruce Brown,8,1,42,0,2,24,65,45,20,22.3,8.8,3.6,6.5,55.6,0.3,0.9,28.8,1.3,1.8,73.5,1.7,3.7,5.4,1.6,0.8,0.9,0.4,2.2,20.8,6.0,0.0,1.1,0,1,0.0
Anthony Edwards,17,1,1,0,1,19,72,23,49,32.1,19.3,7.0,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,2.2,1.1,0.5,1.8,32.0,3.0,0.0,-3.2,4621905,1,10.0
Tyler Herro,23,2,13,0,1,21,54,29,25,30.3,15.1,5.7,12.9,43.9,2.0,5.5,36.0,1.7,2.2,80.3,0.5,4.5,5.0,3.4,1.9,0.6,0.3,1.3,27.2,5.0,0.0,-1.6,2341475,1,30.0
RJ Barrett,19,2,3,0,1,21,72,41,31,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3.0,1.9,0.7,0.3,2.6,30.1,5.0,0.0,1.9,0,1,0.0
Devontae Cacok,15,2,61,0,2,24,20,8,12,4.9,2.0,0.9,1.5,58.6,0.0,0.0,0.0,0.3,0.6,45.5,0.6,1.0,1.6,0.1,0.3,0.3,0.2,0.4,5.0,0.0,0.0,2.1,0,1,0.0
Trey Burke,5,1,9,0,5,28,62,35,27,14.7,6.6,2.4,5.7,42.8,0.9,2.6,35.4,0.8,0.9,89.5,0.2,0.7,0.9,1.3,0.5,0.6,0.1,1.0,11.2,0.0,0.0,0.2,0,1,0.0
Deni Avdija,1,1,9,0,1,20,54,25,29,23.3,6.3,2.4,5.8,41.7,1.0,3.1,31.5,0.5,0.8,64.4,0.4,4.4,4.9,1.2,0.6,0.6,0.3,2.6,15.9,2.0,0.0,-1.5,258107,1,53.0
Norvel Pelle,19,1,61,0,4,28,13,8,5,6.4,1.5,0.6,1.2,53.3,0.0,0.0,0.0,0.3,0.5,66.7,0.5,1.0,1.5,0.2,0.2,0.1,0.7,1.1,5.6,0.0,0.0,1.8,0,1,0.0
Josh Hart,7,2,30,0,3,26,47,21,26,28.7,9.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,1.1,6.9,8.0,2.3,1.0,0.8,0.3,2.4,24.5,7.0,0.0,0.0,917686,1,5.0
Bradley Beal,1,9,3,3,1,28,60,32,28,35.8,31.3,11.2,23.0,48.5,2.2,6.2,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,3.1,1.2,0.4,2.3,45.0,4.0,0.0,-0.1,1310216,1,7.0
Cassius Stanley,25,1,54,0,2,21,24,10,14,3.9,1.5,0.5,1.8,30.2,0.1,0.5,23.1,0.3,0.4,77.8,0.3,0.5,0.8,0.0,0.0,0.0,0.1,0.6,2.9,0.0,0.0,0.8,0,0,0.0
Armoni Brooks,26,1,61,0,1,23,20,3,17,26.0,11.2,3.9,9.6,40.6,3.0,7.9,38.2,0.4,0.6,58.3,0.5,2.9,3.4,1.5,1.1,0.6,0.3,1.7,18.9,0.0,0.0,-6.8,0,1,0.0
Robert Williams,9,3,27,0,1,23,52,29,23,18.9,8.0,3.6,5.0,72.1,0.0,0.0,0.0,0.9,1.4,61.6,2.6,4.3,6.9,1.8,1.0,0.8,1.8,2.0,25.7,4.0,0.0,0.2,0,1,0.0
Mamadi Diakite,4,1,61,0,2,24,14,7,7,10.1,3.1,1.1,2.9,40.0,0.1,0.6,12.5,0.8,1.0,78.6,0.6,1.9,2.4,0.6,0.2,0.4,0.4,1.1,9.1,0.0,0.0,0.6,54916,1,0.0
Matisse Thybulle,3,2,20,0,1,24,65,46,19,20.0,3.9,1.6,3.7,42.0,0.7,2.2,30.1,0.1,0.3,44.4,0.5,1.4,1.9,1.0,0.5,1.6,1.1,2.0,15.3,0.0,0.0,1.5,322442,1,61.0
Wayne Ellington,21,1,28,0,9,33,46,13,33,22.0,9.6,3.2,7.3,44.1,2.5,6.0,42.2,0.6,0.8,80.0,0.3,1.6,1.8,1.5,0.7,0.4,0.2,1.3,15.1,0.0,0.0,-1.5,0,0,0.0
Lauri Markkanen,6,4,7,0,2,24,51,20,31,25.8,13.6,4.9,10.2,48.0,2.3,5.8,40.2,1.5,1.8,82.6,0.7,4.6,5.3,0.9,1.0,0.5,0.3,1.5,22.6,2.0,0.0,-0.9,436189,0,0.0
Damyean Dotson,18,1,44,0,2,27,46,14,32,19.7,6.7,2.6,6.4,40.6,1.0,3.5,28.9,0.5,0.8,66.7,0.1,1.9,2.0,2.0,0.9,0.3,0.1,0.9,12.5,0.0,0.0,-4.7,0,1,0.0
DaQuan Jeffries,22,1,61,0,3,23,31,6,25,15.9,4.1,1.6,3.9,41.7,0.6,2.2,29.9,0.2,0.3,87.5,0.6,1.7,2.3,0.7,0.5,0.5,0.3,1.5,9.9,0.0,0.0,-1.8,0,0,55.0
Jaren Jackson Jr,28,3,4,0,1,21,11,4,7,23.5,14.4,4.8,11.4,42.4,1.5,5.5,28.3,3.2,3.8,83.3,1.5,4.1,5.6,1.1,1.4,1.1,1.6,3.8,29.6,0.0,0.0,-5.8,0,1,24.0
TJ McConnell,25,5,61,0,2,29,69,33,36,26.0,8.6,4.0,7.1,55.9,0.2,0.7,31.3,0.5,0.7,68.8,0.8,2.9,3.7,6.6,2.0,1.9,0.3,1.6,27.6,5.0,1.0,1.0,135953,1,76.0
