Player;Team;years_with_team;draft_pos;all_star;num_teams;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;ig_followers;resigned;Agent
Jay Scrubb;LAC;1;55;0;1;20;4;2;2;21.0;8.8;3.5;9.0;38.9;0.5;2.3;22.2;1.3;1.3;100.0;0.5;3.0;3.5;0.3;1.8;1.0;0.0;1.3;14.6;0.0;0.0;0.5;0;1;0.0
Dario Saric;PHX;2;12;0;3;27;50;37;13;17.4;8.7;3.1;6.8;44.7;0.9;2.7;34.8;1.7;2.0;84.8;0.9;2.9;3.8;1.3;1.1;0.6;0.1;1.9;16.2;0.0;0.0;4.4;116 628;1;0.0
Isaiah Roby;OKC;1;45;0;2;23;61;19;42;23.4;8.7;3.4;7.0;48.3;0.5;1.8;29.4;1.4;1.9;74.4;1.5;4.1;5.6;1.8;1.9;0.9;0.6;2.7;20.6;3.0;0.0;-7.2;0;1;0.0
Terence Davis;SAC;1;61;0;2;24;61;26;35;17.6;8.7;3.2;7.5;42.8;1.6;4.4;36.7;0.7;0.9;81.8;0.3;2.2;2.5;1.4;1.0;0.7;0.2;1.6;15.6;0.0;0.0;-1.1;0;1;0.0
Raul Neto;WAS;1;47;0;3;29;64;30;34;21.9;8.7;3.3;7.0;46.8;1.0;2.6;39.0;1.2;1.3;88.2;0.4;2.0;2.4;2.3;0.8;1.1;0.1;1.7;17.9;0.0;0.0;-0.3;0;1;0.0
George Hill;PHI;1;26;0;7;35;30;16;14;22.4;8.7;3.2;6.6;48.2;1.0;2.7;38.8;1.3;1.7;80.0;0.5;1.5;2.0;2.4;1.0;0.8;0.2;1.0;16.6;0.0;0.0;-0.3;0;0;0.0
T.J. McConnell;IND;5;61;0;2;29;69;33;36;26.0;8.6;4.0;7.1;55.9;0.2;0.7;31.3;0.5;0.7;68.8;0.8;2.9;3.7;6.6;2.0;1.9;0.3;1.6;27.6;5.0;1.0;1.0;135 953;1;76.0
Moses Brown;BOS;1;61;0;5;21;43;8;35;21.4;8.6;3.4;6.2;54.5;0.0;0.0;0.0;1.8;2.9;61.9;3.6;5.3;8.9;0.2;1.0;0.7;1.1;2.2;24.1;12.0;0.0;-8.4;0;1;0.0
Jakob Poeltl;SAS;3;9;0;2;25;69;32;37;26.7;8.6;3.8;6.2;61.6;0.0;0.0;0.0;0.9;1.8;50.8;3.2;4.8;7.9;1.9;1.2;0.7;1.8;2.5;27.2;15.0;0.0;1.6;77 270;1;43.0
Ricky Rubio;MIN;1;5;0;4;30;68;23;45;26.1;8.6;2.8;7.3;38.8;1.0;3.1;30.8;1.9;2.2;86.7;0.4;2.9;3.3;6.4;1.6;1.4;0.1;2.0;24.9;4.0;0.0;-2.7;0;1;0.0
Robert Covington;POR;2;61;0;4;30;70;42;28;32.0;8.5;2.9;7.3;40.1;1.9;5.1;37.9;0.7;0.9;80.6;0.9;5.8;6.7;1.7;0.9;1.4;1.2;2.8;26.0;6.0;0.0;2.9;0;1;0.0
Svi Mykhailiuk;OKC;1;47;0;4;24;66;13;53;20.1;8.5;3.2;7.7;41.1;1.6;4.8;33.4;0.6;0.8;76.0;0.4;2.1;2.5;1.7;1.3;0.8;0.2;1.0;15.5;0.0;0.0;-3.5;0;1;0.0
Cameron Payne;PHX;1;14;0;4;26;60;42;18;18.0;8.4;3.2;6.6;48.4;1.2;2.8;44.0;0.8;0.9;89.3;0.3;2.1;2.4;3.6;1.0;0.6;0.3;1.6;18.3;1.0;0.0;3.0;0;1;0.0
James Ennis III;ORL;1;50;0;7;30;41;12;29;24.1;8.4;2.8;5.9;47.3;1.1;2.5;43.3;1.7;2.1;80.5;1.0;3.0;4.0;1.5;0.9;0.8;0.2;2.0;17.5;1.0;0.0;-1.8;0;1;0.0
Gabriel Deck;OKC;1;61;0;1;26;10;1;9;21.2;8.4;3.2;6.7;47.8;0.2;1.5;13.3;1.8;2.2;81.8;1.6;2.4;4.0;2.4;0.6;0.8;0.0;0.9;18.6;0.0;0.0;-5.1;0;1;0.0
Mitchell Robinson;NYK;3;36;0;1;23;31;15;16;27.5;8.3;3.7;5.7;65.3;0.0;0.0;0.0;0.8;1.7;49.1;3.6;4.5;8.1;0.5;0.8;1.1;1.5;2.8;25.7;5.0;0.0;-0.5;176 575;1;39.0
Luke Kennard;LAC;1;12;0;2;25;63;44;19;19.6;8.3;3.1;6.6;47.6;1.6;3.6;44.6;0.4;0.5;83.9;0.2;2.3;2.6;1.7;0.8;0.4;0.1;1.4;14.6;1.0;0.0;-0.4;200 970;1;5.0
Cory Joseph;DET;1;29;0;5;29;63;25;38;23.0;8.2;3.2;6.8;46.9;0.7;2.1;34.1;1.1;1.4;81.8;0.6;2.0;2.5;3.4;1.3;1.0;0.3;2.2;18.8;2.0;0.0;-3.1;0;1;6.0
Sterling Brown;HOU;1;46;0;3;26;51;14;37;24.1;8.2;2.9;6.6;44.8;1.8;4.2;42.3;0.5;0.6;80.6;0.7;3.6;4.4;1.4;0.8;0.7;0.2;1.9;17.7;2.0;0.0;-3.0;0;0;0.0
Aleksej Pokusevski;OKC;1;17;0;1;19;45;13;32;24.2;8.2;3.1;9.1;34.1;1.3;4.6;28.0;0.7;0.9;73.8;0.7;4.0;4.7;2.2;2.2;0.4;0.9;1.3;19.0;1.0;0.0;-8.7;0;1;0.0
Hassan Whiteside;SAC;1;33;0;4;32;36;16;20;15.2;8.1;3.5;6.2;56.3;0.0;0.0;0.0;1.1;2.2;51.9;1.7;4.3;6.0;0.6;1.1;0.3;1.3;2.0;19.6;4.0;0.0;-2.9;0;0;0.0
JaMychal Green;DEN;2;61;0;5;31;58;38;20;19.3;8.1;3.0;6.4;46.3;1.4;3.4;39.9;0.8;1.0;80.7;1.5;3.3;4.8;0.9;0.9;0.4;0.4;2.5;16.8;1.0;0.0;1.7;0;1;0.0
Nicolas Batum;LAC;1;25;0;3;32;67;44;23;27.4;8.1;2.9;6.1;46.4;1.6;4.1;40.4;0.7;0.9;82.8;0.7;4.0;4.7;2.2;0.8;1.0;0.6;1.5;21.0;1.0;0.0;5.1;298 843;1;18.0
Robert Williams III;BOS;3;27;0;1;23;52;29;23;18.9;8.0;3.6;5.0;72.1;0.0;0.0;0.0;0.9;1.4;61.6;2.6;4.3;6.9;1.8;1.0;0.8;1.8;2.0;25.7;4.0;0.0;0.2;0;1;0.0
Tyrese Maxey;PHI;1;21;0;1;20;61;41;20;15.3;8.0;3.2;7.0;46.2;0.5;1.7;30.1;1.0;1.1;87.1;0.2;1.5;1.7;2.0;0.7;0.4;0.2;1.3;14.2;0.0;0.0;-0.9;803 541;1;6.0
Mo Bamba;ORL;3;6;0;1;23;46;11;35;15.8;8.0;3.1;6.5;47.2;0.8;2.6;32.2;1.0;1.4;68.2;1.7;4.1;5.8;0.8;0.8;0.3;1.3;1.9;19.9;4.0;0.0;-4.4;0;1;0.0
Kenrich Williams;OKC;2;61;0;2;26;66;21;45;21.6;8.0;3.3;6.2;53.3;0.8;1.8;44.4;0.5;1.0;57.1;1.3;2.9;4.1;2.3;1.2;0.8;0.3;2.2;18.5;0.0;0.0;-2.7;0;1;77.0
Austin Rivers;DEN;1;10;0;6;28;36;20;16;23.5;7.9;2.9;6.8;42.4;1.5;4.1;36.9;0.6;0.9;71.0;0.2;2.1;2.3;2.3;1.0;0.8;0.1;1.8;15.7;0.0;0.0;0.3;0;1;0.0
Isaiah Stewart;DET;1;16;0;1;20;68;20;48;21.4;7.9;3.3;6.0;55.3;0.3;0.9;33.3;0.9;1.4;69.6;2.3;4.3;6.7;0.9;1.0;0.6;1.3;2.7;21.7;8.0;0.0;-0.9;0;1;52.0
Anfernee Simons;POR;3;24;0;1;22;64;37;27;17.3;7.8;2.6;6.3;41.9;1.9;4.4;42.6;0.7;0.9;80.7;0.2;2.0;2.2;1.4;0.7;0.3;0.1;1.5;13.1;0.0;0.0;0.7;209 830;1;0.0
Willy Hernangomez;NOP;1;35;0;3;27;47;20;27;18.0;7.8;3.2;5.7;56.3;0.0;0.2;10.0;1.3;2.0;66.7;2.5;4.6;7.1;1.1;0.7;0.5;0.5;1.4;20.0;11.0;0.0;-0.3;0;1;0.0
Chuma Okeke;ORL;1;16;0;1;22;45;15;30;25.2;7.8;3.0;7.2;41.7;1.1;3.1;34.8;0.7;0.9;75.0;0.9;3.1;4.0;2.2;0.8;1.1;0.5;1.1;19.8;0.0;0.0;-4.0;0;1;35.0
Payton Pritchard;BOS;1;26;0;1;23;66;33;33;19.2;7.7;2.8;6.3;44.0;1.5;3.8;41.1;0.6;0.7;88.9;0.5;1.9;2.4;1.8;0.8;0.6;0.1;1.6;14.6;0.0;0.0;0.6;463 586;1;24.0
Tomas Satoransky;CHI;2;32;0;3;29;58;25;33;22.5;7.7;2.9;5.7;51.4;0.7;2.0;35.6;1.2;1.4;84.8;0.5;1.9;2.4;4.7;1.7;0.7;0.2;1.5;18.8;1.0;0.0;0.0;0;1;0.0
PJ Dozier;DEN;2;61;0;3;24;50;36;14;21.8;7.7;3.0;7.1;41.7;0.9;3.0;31.5;0.8;1.3;63.6;0.7;2.9;3.6;1.8;0.9;0.6;0.4;1.7;17.1;0.0;0.0;3.9;0;1;0.0
Mike James;BKN;1;61;0;4;30;13;9;4;18.2;7.7;2.6;7.1;37.0;0.8;2.4;35.5;1.6;2.1;77.8;0.2;2.2;2.5;4.2;1.5;0.5;0.1;0.8;17.0;0.0;0.0;1.5;0;1;0.0
Naji Marshall;NOP;1;61;0;1;23;32;14;18;21.9;7.7;2.6;6.5;39.2;0.9;2.6;34.9;1.7;2.3;70.7;0.5;4.2;4.6;2.8;1.2;0.8;0.3;1.8;19.6;3.0;0.0;-0.9;40 031;1;0.0
D.J. Augustin;HOU;1;9;0;10;33;57;28;29;19.8;7.7;2.4;6.0;39.4;1.5;3.8;38.2;1.5;1.6;90.4;0.4;1.3;1.6;3.3;1.1;0.5;0.0;1.0;15.0;0.0;0.0;-0.7;0;1;0.0
Isaiah Thomas;NOP;1;60;2;10;32;3;1;2;16.1;7.7;3.0;9.0;33.3;1.0;4.0;25.0;0.7;0.7;100.0;0.3;1.0;1.3;1.7;2.0;0.3;0.0;1.0;10.8;0.0;0.0;2.7;0;1;0.0
Ben McLemore;LAL;1;7;0;5;28;53;20;33;17.1;7.7;2.5;6.9;37.0;1.8;5.3;34.6;0.7;1.0;73.6;0.3;1.6;1.9;0.7;0.8;0.4;0.2;1.7;12.0;0.0;0.0;-1.9;0;0;0.0
Tristan Thompson;BOS;1;4;0;3;30;54;27;27;23.8;7.6;3.1;6.0;51.8;0.0;0.1;0.0;1.3;2.2;59.2;3.1;5.0;8.1;1.2;1.1;0.4;0.6;2.2;21.2;5.0;0.0;0.4;3 802 207;1;6.0
Garrett Temple;CHI;1;61;0;10;35;56;25;31;27.3;7.6;2.8;6.8;41.5;1.2;3.6;33.5;0.7;0.9;80.0;0.5;2.3;2.9;2.2;1.0;0.8;0.5;2.3;17.2;0.0;0.0;0.9;59 046;0;100.0
Steven Adams;NOP;1;12;0;2;27;58;26;32;27.7;7.6;3.3;5.3;61.4;0.0;0.1;0.0;1.0;2.3;44.4;3.7;5.2;8.9;1.9;1.3;0.9;0.7;1.9;24.5;13.0;1.0;0.3;597 234;1;36.0
