Rank,Player,Team,Followers
63,Paolo Banchero,Orlando Magic,1 137 304
64,Brandon Williams,Dallas Mavericks,1 120 577
65,Bam Adebayo,Miami Heat,1 093 383
66,R.J. Barrett,Toronto Raptors,1 084 840
67,P.J. Tucker,Los Angeles Clippers,1 025 247
68,Julius Randle,New York Knicks,973 593
69,Harrison Barnes,San Antonio Spurs,963 248
70,Bol Bol,Phoenix Suns,933 895
71,Rui Hachimura,Los Angeles Lakers,921 765
72,Yuki Kawamura,Memphis Grizzlies,918 317
73,Josh Hart,New York Knicks,917 686
74,Jrue Holiday,Boston Celtics,898 147
75,P.J. Washington,Dallas Mavericks,866 339
76,Chet Holmgren,Oklahoma City Thunder,865 734
77,Rudy Gobert,Minnesota Timberwolves,833 896
78,Bogdan Bogdanovic,Atlanta Hawks,821 691
79,Marcus Smart,Memphis Grizzlies,804 989
80,Tyrese Maxey,Philadelphia Sixers,803 541
81,Jalen Brunson,New York Knicks,761 935
82,Scottie Barnes,Toronto Raptors,747 835
83,Al Horford,Boston Celtics,746 749
84,Alperen Sengun,Houston Rockets,726 620
85,Pascal Siakam,Indiana Pacers,722 511
86,"Michael Porter, Jr.",Denver Nuggets,716 152
87,Cade Cunningham,Detroit Pistons,714 122
88,Mohamed Bamba,Los Angeles Clippers,688 044
89,Gary Payton II,Golden State Warriors,663 626
90,Cole Anthony,Orlando Magic,658 250
91,Josh Christopher,Miami Heat,640 032
92,Jonathan Kuminga,Golden State Warriors,636 197
93,Fred VanVleet,Houston Rockets,629 129
94,Gui Santos,Golden State Warriors,622 842
95,Patty Mills,Utah Jazz,622 492
96,Clint Capela,Atlanta Hawks,615 244
97,Buddy Hield,Golden State Warriors,611 907
98,Miles Bridges,Charlotte Hornets,606 044
99,Steven Adams,Houston Rockets,597 234
100,"Jaren Jackson, Jr.",Memphis Grizzlies,587 199
101,Mike Conley,Minnesota Timberwolves,585 748
102,Malik Monk,Sacramento Kings,565 084
103,Terry Rozier,Miami Heat,536 753
104,Josh Giddey,Chicago Bulls,515 677
105,Tim Hardaway Jr.,Detroit Pistons,495 402
106,Marvin Bagley III,Washington Wizards,492 741
107,Scoot Henderson,Portland Trail Blazers,491 342
108,"Kevin Porter, Jr.",Los Angeles Clippers,489 971
109,"Scotty Pippen, Jr.",Memphis Grizzlies,488 214
110,Jonathan Isaac,Orlando Magic,482 938
111,James Wiseman,Indiana Pacers,476 036
112,Mikal Bridges,New York Knicks,469 529
113,Jarred Vanderbilt,Los Angeles Lakers,468 532
114,Payton Pritchard,Boston Celtics,463 586
115,Jalen Suggs,Orlando Magic,462 022
116,Tobias Harris,Detroit Pistons,452 609
117,Deandre Ayton,Portland Trail Blazers,447 826
118,Kevon Looney,Golden State Warriors,440 908
119,Lauri Markkanen,Utah Jazz,436 189
120,Jeremy Sochan,San Antonio Spurs,427 012
121,Amen Thompson,Houston Rockets,421 219
122,Khris Middleton,Milwaukee Bucks,415 208
123,Derrick White,Boston Celtics,413 404
124,"Larry Nance, Jr.",Atlanta Hawks,412 413
125,"Jaime Jaquez, Jr.",Miami Heat,412 262
126,Derrick Jones,Los Angeles Clippers,408 179
127,Coby White,Chicago Bulls,407 980
